critic_count,critic_score,developer,eu_sales,genre,global_sales,jp_sales,na_sales,name,other_sales,platform,publisher,rating,user_count,user_score,year_of_release
51.0,76.0,Nintendo,28.96,Sports,82.53,3.77,41.36,Wii Sports,8.45,Wii,Nintendo,E,322.0,8.0,2006
,,,3.58,Platform,40.24,6.81,29.08,Super Mario Bros.,0.77,NES,Nintendo,,,,1985
73.0,82.0,Nintendo,12.76,Racing,35.52,3.79,15.68,Mario Kart Wii,3.29,Wii,Nintendo,E,709.0,8.3,2008
73.0,80.0,Nintendo,10.93,Sports,32.77,3.28,15.61,Wii Sports Resort,2.95,Wii,Nintendo,E,192.0,8.0,2009
,,,8.89,Role-Playing,31.37,10.22,11.27,Pokemon Red/Pokemon Blue,1.0,GB,Nintendo,,,,1996
,,,2.26,Puzzle,30.26,4.22,23.2,Tetris,0.58,GB,Nintendo,,,,1989
65.0,89.0,Nintendo,9.14,Platform,29.8,6.5,11.28,New Super Mario Bros.,2.88,DS,Nintendo,E,431.0,8.5,2006
41.0,58.0,Nintendo,9.18,Misc,28.92,2.93,13.96,Wii Play,2.84,Wii,Nintendo,E,129.0,6.6,2006
80.0,87.0,Nintendo,6.94,Platform,28.32,4.7,14.44,New Super Mario Bros. Wii,2.24,Wii,Nintendo,E,594.0,8.4,2009
,,,0.63,Shooter,28.31,0.28,26.93,Duck Hunt,0.47,NES,Nintendo,,,,1984
,,,10.95,Simulation,24.67,1.93,9.05,Nintendogs,2.74,DS,Nintendo,,,,2005
64.0,91.0,Nintendo,7.47,Racing,23.21,4.13,9.71,Mario Kart DS,1.9,DS,Nintendo,E,464.0,8.6,2005
,,,6.18,Role-Playing,23.1,7.2,9.0,Pokemon Gold/Pokemon Silver,0.71,GB,Nintendo,,,,1999
63.0,80.0,Nintendo,8.03,Sports,22.7,3.6,8.92,Wii Fit,2.15,Wii,Nintendo,E,146.0,7.7,2007
45.0,61.0,Good Science Studio,4.89,Misc,21.81,0.24,15.0,Kinect Adventures!,1.69,X360,Microsoft Game Studios,E,106.0,6.3,2010
33.0,80.0,Nintendo,8.49,Sports,21.79,2.53,9.01,Wii Fit Plus,1.77,Wii,Nintendo,E,52.0,7.4,2009
